"Code","Size","Packing"
21311,	20x½”,	300
21312,	20x¾”,	300
21321,	25x½’’,	200
21322,	25x¾’’,	185
21323,	25×1’’,	185
21332,	32x¾’’,	125
21333,	32×1”, 125
21334,	32×1¼”,	115
21343,	40×1”, 75
21344,	40×1¼”,	75
21345,	40×1½”,	70
21354,	50×1¼”,	45
21355,	50×1½”,	45
21356,	50×2”, 40
21365,	63×1½”,	25
21366,	63×2”,	25
21367,	63×2½”,	24
21376,	75×2’’,	15
21377,	75×2½”,	15
21387,	90×2½”,	9
21388,	90×3”,	9
21398,	110×3”,	5
21399,	110X4”,	5
